name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lost In Yesterday,Tame Impala,3eoNUm0LU9hATVVi9w4fM6,i.vi,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,249587,3
"Lights Out, Words Gone",Bombay Bicycle Club,1bKQdPJ9lid6Yg26HAx8Tf,i.vi,0.649,0.76,8,-7.275,1,0.0298,0.577,0.332,0.107,0.654,106.002,301347,4
Sleep Forever,Portugal. The Man,1l5lKWHRfyY7Y3FvDBXlvJ,i.vi,0.513,0.467,7,-8.305,1,0.0295,0.367,0.000542,0.319,0.31,145.027,380547,4
Daffodils (feat. Kevin Parker),Mark Ronson,1v0ufp7FLTFcykUGOmFZKa,i.vi,0.723,0.539,0,-8.041,1,0.038,0.0412,0.0132,0.0343,0.283,108.946,298133,4
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,5DuTNKFEjJIySAyJH1yNDU,i.vi,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,431800,4
Sundown Syndrome,Tame Impala,04s46zhESDMuqdH7hPV5pZ,i.vi,0.2,0.725,8,-4.88,0,0.0377,0.0952,0.494,0.135,0.326,69.075,349333,4
Apocalypse Dreams,Tame Impala,6g4i8boXgdS7L2UOxJWUMH,i.vi,0.495,0.933,8,-2.287,1,0.0507,0.229,0.135,0.0837,0.27,127.984,356947,4
"Call It Fate, Call It Karma",The Strokes,3Y4rUyw7XBCK6hGHCOt6rp,i.vi,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,204773,4
Only A Fool Would Say That,Steely Dan,6eT2fNwiVD04D3R4uP5qOv,i.vi,0.803,0.531,0,-11.967,1,0.0348,0.712,0.0,0.197,0.965,130.05,177533,4
Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,i.vi,0.401,0.723,1,-4.651,1,0.0291,0.341,0.775,0.0543,0.66,90.596,187153,4
Darling,Real Estate,36PQh1G6h7n9VWB799fXpI,i.vi,0.596,0.894,0,-5.407,1,0.0265,0.00878,0.00659,0.104,0.572,132.994,260387,5
Still Beating,Mac DeMarco,2N4idqj9TT3HnH2OFT9j0v,i.vi,0.709,0.496,1,-10.528,0,0.0417,0.581,0.195,0.151,0.469,78.477,181587,4
When You Die,MGMT,3td69vL9Py7Ai9wfXYnvji,i.vi,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,263880,4
Charlie Don't Surf - Remastered,The Clash,5T4j3Uv33fQO7tsR2lMl4y,i.vi,0.51,0.595,2,-11.021,1,0.0378,0.0976,0.0176,0.338,0.64,131.761,294093,4
Every Time I Try,Airpark,5X4FloCM3AILu007o8Wy0i,i.vi,0.618,0.71,2,-6.374,1,0.0299,0.225,0.0243,0.182,0.687,125.039,183920,4
The Girl From Ipanema,Stan Getz,3898C4AbdbptwYet6547e5,i.vi,0.664,0.194,5,-15.487,0,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,321827,4
